1|https://www.hiltonhotels.com/es_XM/ecuador/hilton-colon-quito/
2|https://www.marriott.com/hotels/travel/uiodt-jw-marriott-hotel-quito/
3|https://www.swissotel.com/hotels/quito/
4|https://www.casagangotena.com/
5|https://www.plazagrandequito.com/
6|https://www.marriott.com/hotels/travel/uiosp-sheraton-quito-hotel/
7|https://www.casasanmarcoshotel.com/
8|https://www.hotelakros.com/
9|https://www.accorhotels.com/es/hotel-2041-hotel-mercure-quito-alameda/index.shtml
10|https://www.hotelpatioandaluz.com/
